,,2020-21,2020-21,2020-21,2020-21,2020-21
j,u,Dar Es Salaam,Mainland Other Urban,Mainland Rural,Nan,Zanzibar
Beef,kg,7166.666667,7000,6000,7000,10000
Bottled Beer,kg,,,3500,4285.714286,
Bottled Beer,piece,1500,,,1500,
Bread,kg,2000,2333.722287,2500,2311.111111,2857.142857
Bread,piece,1000,1000,1250,1000,
"Buns, Cakes And Biscuits",kg,2500,2174.940898,2500,2000,2000
"Buns, Cakes And Biscuits",piece,100,100,100,100,
"Butter, Etc.",kg,,10000,3428.571429,10000,4000
Cassava Dry/Flour,kg,1000,500,700,1000,
Cassava Fresh,kg,869.5652174,839.9832003,500,800,1500
Cassava Fresh,piece,200,,,,
Chicken,kg,8000,7500,4333.333333,12000,7500
Chicken,piece,12750,,,8000,
Citrus Fruits,kg,1388.888889,961.5384615,832.3389537,978.4735812,2000
Citrus Fruits,piece,100,150,100,200,83.33333333
Coconuts,kg,1250,1666.666667,962.1072089,1400,1200
Coconuts,piece,650,1000,500,600,
Coffee & Cocoa,kg,39043.33333,,2000,51129.03226,
Cooking Oil,kg,4500,5000,5000,4600,4000
Dairy Products,kg,2000,1200,1000,1500,
Eggs,kg,5000,3636.363636,5000,6685.288641,
Eggs,piece,300,500,300,325,316.6666667
Fish (dried),kg,8333.333333,5882.352941,5777.777778,6097.560976,10000
Fish (dried),piece,2000,,500,3000,
Fish (fresh),kg,7000,5166.666667,4166.666667,7751.937984,4392.857143
Fish (fresh),piece,750,,,,
Goat Meat,kg,9166.666667,8000,6000,8000,
Groundnuts,kg,3600,2857.142857,2000,3050,119047.619
"Honey, Syrups, etc.",kg,6740,2500,5600,2500,
Irish Potatoes,kg,1000,1000,1000,1000,1000
Irish Potatoes,piece,66.66666667,,,,
Leafy Greens,kg,1166.666667,750,801.0680908,889.6797153,1055.555556
Leafy Greens,piece,300,500,500,220.8333333,
Local Brews,kg,,964.2857143,500,500,
"Macaroni, Spaghetti",kg,2600,3333.333333,2600,3000,2500
Maize (flour),kg,1100,1000,1000,1000,1400
Maize (grain),kg,1200,1000,700,1200,
"Maize (green, cob)",kg,666.6666667,1250,555.5555556,2095.238095,
"Maize (green, cob)",piece,,250,,,
Materials For Drinks,kg,,,,,
Milk (dry or canned),kg,33750,,16000,30000,30000
Milk (fresh),kg,2000,1500,1000,1200,3000
Millet & Sorghum (flour),kg,4000,833.3333333,1500,2000,1100
Millet & Sorghum (grain),kg,4200,,1000,,1600
Nuts,kg,40000,26000,892.8571429,,
Other Cereal Products,kg,1176.470588,,,,2600
Other Cereals,kg,,,,,
Other Fruits,kg,1547.157623,1428.571429,806.4516129,1166.666667,2000
Other Fruits,piece,500,500,150,346.1538462,
Other Meat,kg,,,,,
Other Spices,kg,7272.727273,1937.984496,2531.64557,4000,12500
Other Starches,kg,,,,,
Plantains,kg,1076.923077,900,553.5055351,833.3333333,2000
Plantains,piece,166.6666667,96.42857143,,166.6666667,
Pork,kg,6500,7000,5000,6000,
"Prepared Tea, Coffee",piece,,,100,,
Pulses,kg,2800,2000,2000,2000,2800
Rice (husked),kg,1521.969697,1400,1400,1500,1680
Rice (paddy),kg,,,,,
Ripe Bananas,kg,1212.121212,699.3006993,1000,847.7011494,2000
Ripe Bananas,piece,200,100,,100,
Salt,kg,1000,1000,1000,1000,1000
Seeds,kg,,,,,
Seeds,piece,,500,,,
Soft drinks,kg,1428.571429,1428.571429,1428.571429,1428.571429,2000
Soft drinks,piece,458.3333333,500,600,500,
Sugar,kg,2800,2800,2800,2800,2000
Sugarcane,kg,583.3333333,315.920398,410.5263158,444.4444444,4166.666667
Sugarcane,piece,,,375,,
Sweet Potatoes,kg,783.6576831,666.6666667,473.6094498,800,1000
Sweet Potatoes,piece,150,50,,,
Sweets,kg,10000,5507.246377,10000,10000,18888.88889
Sweets,piece,50,60.71428571,56.25,100,
Tea (dry),kg,16666.66667,12096.77419,10000,10000,10000
Tea (dry),piece,100,,,,
Vegetables (fresh),kg,1428.571429,1282.894737,1202.893891,1262.254902,1600
Vegetables (fresh),piece,100,100,80,115.3846154,
Vegetables (preserved),kg,,,1666.666667,,
Wheat Flour,kg,1300,1400,1500,1400,1500
Wild Birds & Insects,kg,,,1000,,
Wine & Spirits,kg,,2000,,13333.33333,
Wine & Spirits,piece,,,,875,
Yams/Cocoyams,kg,1196.581197,984.6153846,1025.641026,,666.6666667